pert_name	n_signatures	min_score	median_score	mean_score	best_fdr_q_nlog10	best_cell	moa	targets	direction
RG-7388	13	-2.0326	0	-0.3545846153846154	15.6536	A549	MDM inhibitor		negative
valrubicin	14	-1.9623	-1.2651	-1.0000071428571429	15.6536	HUVEC	DNA inhibitor|Topoisomerase inhibitor		negative
niguldipine	37	-1.9521	-0.81	-0.5961621621621621	15.6536	MCF7	Adrenergic receptor antagonist|Calcium channel blocker;-666		negative
refametinib	15	-1.9474	-1.3959	-0.8782866666666667	15.6536	THP1	MEK inhibitor		negative
ibrutinib	48	-1.9339	0	-0.31694791666666666	15.6536	MCF10A	BTK inhibitor		negative
PD-173074	21	-1.9216	0	-0.27753809523809525	15.6536	HCC515	FGFR inhibitor|VEGFR inhibitor		negative
dabrafenib	23	-1.9156	0	-0.1537521739130435	15.6536	A375	RAF inhibitor		negative
CGP-57380	14	-1.9102	-0.37055	-0.3115142857142857	15.6536	HCC515	MAP kinase inhibitor		negative
mozavaptan	14	-1.9076	0	-0.3121428571428571	15.6536	HUVEC	Vasopressin receptor antagonist		negative
etoposide	41	-1.8916	-1.0015	-0.6672	15.6536	MCF7	Topoisomerase inhibitor;-666		negative
BRD-K86899078	9	-1.8894	0	-0.27534444444444445	15.6536	MCF7	-666		negative
amsacrine	28	-1.8869	-1.0135999999999998	-0.8698892857142857	15.6536	MCF10A	Topoisomerase inhibitor;-666		negative
BRD-K55896799	7	-1.8838	-1.1306	-0.9768	15.6536	MCF7	-666		negative
pyrvinium	2	-1.8819	-1.5467499999999998	-1.5467499999999998	15.6536	MCF7	-666		negative
sunitinib	35	-1.881	-1.0135	-0.81894	15.6536	HCC515	-666;FLT3 inhibitor|KIT inhibitor|PDGFR inhibitor|RET inhibitor|VEGFR inhibitor		negative
BMS-599626	12	-1.8795	-0.3786	-0.38860833333333333	15.6536	MCF10A	EGFR inhibitor|Receptor tyrosine protein kinase inhibitor		negative
PD-0325901	46	-1.8789	0	-0.3331413043478261	15.6536	THP1	MEK inhibitor|MAP kinase inhibitor|Protein kinase inhibitor;-666		negative
MEK-162	14	-1.8729	-1.02325	-0.9032214285714286	15.6536	THP1	MEK inhibitor		negative
BIX-02189	21	-1.8714	0	-0.10727619047619047	15.6536	THP1	MEK inhibitor		negative
malonoben	16	-1.8673	-1.0534	-0.87060625	15.6536	HCC515	Protein tyrosine kinase inhibitor		negative
BRD-K09907482	17	-1.8627	0	0.15898235294117646	15.6536	HCC515	Tyrosine phosphatase inhibitor		negative
BRD-K47869605	23	-1.8624	-1.0438	-0.8004652173913044	15.6536	YAPC	Tubulin inhibitor		negative
tamoxifen	54	-1.8616	-0.7414499999999999	-0.3998	15.6536	MCF7	Estrogen receptor antagonist|Selective estrogen receptor modulator (SERM);-666;Estrogen receptor antagonist		negative
rociletinib	14	-1.8611	-1.2181	-1.1200714285714286	15.6536	HUVEC	EGFR inhibitor		negative
BRD-K75969390	2	-1.8595	-0.92975	-0.92975	15.6536	VCAP	-666		negative
fingolimod	16	-1.8571	-0.8396	-0.883225	15.6536	HCC515	Immunosuppressant|Sphingosine 1 phosphate receptor agonist		negative
AZD-4547	19	-1.8557	-1.1541	-0.8985947368421052	15.6536	HUVEC	FGFR inhibitor		negative
progesterone	33	-1.8548	0	-0.016390909090909084	15.6536	MCF10A	Progesterone receptor agonist;-666		negative
tremulacin	10	-1.8538	-0.82865	-0.79288	15.6536	MCF7	Lipoxygenase inhibitor		negative
BRD-K84633118	8	-1.8534	-1.28985	-1.214925	15.6536	A375	-666		negative
AMG-232	14	-1.8509	-0.38565	-0.6249142857142858	15.6536	MCF7	MDM inhibitor		negative
BRD-K52981369	9	-1.8489	-1.1452	-1.1108	15.6536	MCF7	-666		negative
