database	mature_mirna_acc	mature_mirna_id	target_symbol	target_entrez	target_ensembl	experiment	support_type	pubmed_id	type	in_BROAD_module	in_PPI_core	hits_TOP2A	hits_PARP1	dog_symbol	orthology_type	human_logFC	human_adj.P	human_is_sig_strict	human_dir_strict	human_is_sig_broad	human_dir_broad	dog_logFC	dog_adj.P	dog_is_sig_strict	dog_dir_strict	dog_is_sig_broad	dog_dir_broad	degree	betweenness	closeness	eigenvector	logFC_human	direction	is_hub	is_bottleneck	hub_type.x	hub_type.y	in_STRICT_core
mirecords	MIMAT0000422	hsa-miR-124-3p	RDH10	157506	ENSG00000121039			17724173	validated	TRUE	FALSE	FALSE	FALSE	RDH10	ortholog_one2one	1.0245268831848495	3.16218853928614e-17	FALSE	nonsig	TRUE	up	0.6032407826086958	0.02087139961718553	FALSE	nonsig	TRUE	up	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
mirecords	MIMAT0003386	hsa-miR-376a-5p	TTK	7272	ENSG00000112742			17322061	validated	TRUE	TRUE	FALSE	FALSE	TTK	ortholog_one2one	3.924942984636365	7.471960515521359e-23	TRUE	up	TRUE	up	2.3710550869565212	4.0854509490266756e-8	TRUE	up	TRUE	up	54	0.00359408194532694	0.34292565947242204	0.9020112289994764	3.924942984636365	up	TRUE	FALSE	hub	hub	TRUE
mirecords	MIMAT0003386	hsa-miR-376a-5p	TTK	7272	ENSG00000112742			17322061	validated	TRUE	TRUE	FALSE	FALSE	TTK	ortholog_one2one	3.924942984636365	7.471960515521359e-23	TRUE	up	TRUE	up	2.3710550869565212	4.0854509490266756e-8	TRUE	up	TRUE	up	54	0.00359408194532694	0.34292565947242204	0.9020112289994764	3.924942984636365	up	TRUE	FALSE	hub	hub	TRUE
mirecords	MIMAT0000422	hsa-miR-124-3p	GAS2L1	10634	ENSG00000185340			16549876	validated	TRUE	FALSE	FALSE	FALSE	GAS2L1	ortholog_one2one	-1.2210755092303038	8.499154808007705e-30	FALSE	nonsig	TRUE	down	-0.6532610217391303	1.2564156981893912e-5	FALSE	nonsig	TRUE	down	2	0	0.20487106017191975	0.00165117723503386	-1.2210755092303038	down	FALSE	FALSE	none	NA	FALSE
mirecords	MIMAT0000422	hsa-miR-124-3p	GAS2L1	10634	ENSG00000185340			18042700	validated	TRUE	FALSE	FALSE	FALSE	GAS2L1	ortholog_one2one	-1.2210755092303038	8.499154808007705e-30	FALSE	nonsig	TRUE	down	-0.6532610217391303	1.2564156981893912e-5	FALSE	nonsig	TRUE	down	2	0	0.20487106017191975	0.00165117723503386	-1.2210755092303038	down	FALSE	FALSE	none	NA	FALSE
mirecords	MIMAT0000422	hsa-miR-124-3p	CDCA7	83879	ENSG00000144354			15685193	validated	TRUE	FALSE	FALSE	FALSE	CDCA7	ortholog_one2many	2.0561217541363663	4.0105077609715745e-8	TRUE	up	TRUE	up	2.1032431304347834	2.993382358718895e-8	TRUE	up	TRUE	up	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
mirecords	MIMAT0000076	hsa-miR-21-5p	BTG2	7832	ENSG00000159388			17991735	validated	TRUE	FALSE	FALSE	FALSE	BTG2	ortholog_one2one	-1.3646354303606076	4.3791618668994836e-15	FALSE	nonsig	TRUE	down	-0.5947895652173907	0.03945819162519009	FALSE	nonsig	TRUE	down	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
mirecords	MIMAT0000076	hsa-miR-21-5p	SESN1	27244	ENSG00000080546			17991735	validated	TRUE	FALSE	FALSE	FALSE	SESN1	ortholog_one2one	1.3348253665393943	3.8989704911973265e-11	FALSE	nonsig	TRUE	up	0.5024181478260878	0.03817550529434174	FALSE	nonsig	TRUE	up	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
mirecords	MIMAT0000076	hsa-miR-21-5p	GLCCI1	113263	ENSG00000106415			17991735	validated	TRUE	FALSE	FALSE	FALSE	GLCCI1	ortholog_one2one	-1.9790373802242447	2.8390380093484496e-12	TRUE	down	TRUE	down	-0.8288621594202898	0.00691796993684611	FALSE	nonsig	TRUE	down	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
mirecords	MIMAT0000076	hsa-miR-21-5p	CFL2	1073	ENSG00000165410	Western blot		17991735	validated	TRUE	FALSE	FALSE	FALSE	CFL2	ortholog_one2one	-2.1517103291818187	2.856031264130588e-28	TRUE	down	TRUE	down	-0.5515130652173906	7.8510913329754e-5	FALSE	nonsig	TRUE	down	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
