mature_mirna_id	n_targets_total	n_targets_BROAD	n_targets_PPI_core	n_hits_TOP2A	n_hits_PARP1	hits_any_core_hub	hits_TOP2A_or_PARP1	logFC	adj.P.Val
hsa-let-7b-5p	291	291	34	1	1	TRUE	TRUE	4.793928846600004	1.0619860972676806e-6
hsa-miR-124-3p	227	227	34	1	3	TRUE	TRUE	-4.862195720899999	1.1706978602727144e-4
hsa-let-7d-5p	275	275	33	1	1	TRUE	TRUE	-1.2481262859999989	0.03988191549122424
hsa-miR-21-5p	228	228	32	3	3	TRUE	TRUE	1.0933648627000003	0.00145098280001865
hsa-let-7g-5p	270	270	29	1	1	TRUE	TRUE	-1.6275780001999998	0.00644085661614452
hsa-miR-147a	110	110	28	1	1	TRUE	TRUE	2.834619145500003	0.01097968907990616
hsa-miR-205-5p	125	125	26	1	1	TRUE	TRUE	-10.1104329133	3.5963849908567785e-8
hsa-miR-29b-3p	200	200	23	1	1	TRUE	TRUE	-1.4864452562999997	8.874860758922009e-4
hsa-miR-183-5p	193	193	23	1	1	TRUE	TRUE	-2.641755203099999	0.00208530324574622
hsa-miR-29a-3p	176	176	23	1	1	TRUE	TRUE	-1.1845703688999998	5.0224076836203855e-5
hsa-miR-24-3p	155	155	21	1	1	TRUE	TRUE	-1.8108133498999992	3.2805546736731926e-5
hsa-miR-181a-5p	180	180	20	1	1	TRUE	TRUE	1.7376189864000031	3.739290642552364e-5
hsa-miR-335-3p	102	102	19	1	1	TRUE	TRUE	-1.7553529221999988	0.01483540232932231
hsa-miR-185-5p	115	115	18	1	1	TRUE	TRUE	1.2212580081000013	3.0753769293882755e-4
hsa-miR-10a-5p	99	99	15	1	0	TRUE	TRUE	1.3414268890000036	0.01362057651952391
hsa-miR-423-3p	110	110	14	0	1	TRUE	TRUE	-6.110380046899998	1.0583417337150478e-6
hsa-miR-625-5p	96	96	13	1	1	TRUE	TRUE	-8.229924448199995	4.3062982214864525e-5
hsa-miR-361-5p	78	78	13	1	1	TRUE	TRUE	-1.203322723099999	0.00587892756106567
hsa-miR-376a-5p	91	91	12	1	0	TRUE	TRUE	-1.3896428237999996	2.341186503597e-6
hsa-miR-574-5p	103	103	11	0	1	TRUE	TRUE	3.439980685600011	0.01995784673176943
hsa-miR-146b-5p	87	87	11	1	1	TRUE	TRUE	1.1801000029000026	0.02629956798895495
hsa-miR-200c-3p	94	94	10	1	0	TRUE	TRUE	5.049554328100001	1.560001877441157e-9
hsa-miR-30c-5p	94	94	10	1	0	TRUE	TRUE	-4.8521766255	1.5644006482121549e-6
