geneA	geneB	combined_score
ACAD9	NDUFA11	0.717
ADAMTSL5	FBN1	0.771
ADSL	IMPDH2	0.879
ADSL	FH	0.709
ADSL	AK2	0.964
AK2	RRM2	0.785
AK2	ADSL	0.964
ALDH18A1	OAT	0.998
ALDH18A1	MTHFD1	0.726
ANAPC13	UBE2S	0.986
ANAPC13	BUB1B	0.959
ANAPC13	PCGF6	0.9
ANAPC13	CDC20	0.996
ANAPC13	BRCA1	0.905
ANLN	TRIP13	0.748
ANLN	AURKA	0.741
ANLN	NCAPH	0.707
ANLN	DLGAP5	0.914
ANLN	KIF23	0.989
ANLN	DEPDC1B	0.74
ANLN	CDC20	0.701
ANLN	TTK	0.704
ANLN	SHCBP1	0.743
ANLN	KIF4A	0.782
ANLN	RRM2	0.785
ANLN	CDCA8	0.789
ANLN	BUB1B	0.8
ANLN	PBK	0.811
ANLN	KIF2C	0.821
ANLN	KIF14	0.828
ANLN	MELK	0.831
ANLN	DEPDC1	0.847
ANLN	TOP2A	0.861
ANLN	HMMR	0.88
ANLN	NUF2	0.897
APOA1	FN1	0.845
ARHGAP9	PLEK2	0.712
ARHGEF12	RND1	0.746
ARHGEF12	LSP1	0.919
ATG4D	GABARAPL1	0.993
ATOX1	SLC31A2	0.815
ATOX1	SLC31A1	0.885
AURKA	TRIP13	0.771
AURKA	UBE2S	0.704
AURKA	KIF2A	0.719
AURKA	KIF15	0.725
AURKA	ANLN	0.741
AURKA	TUBG1	0.745
AURKA	ESPL1	0.773
AURKA	TTK	0.779
AURKA	DEPDC1	0.782
AURKA	ZWINT	0.787
AURKA	PBK	0.791
AURKA	NCAPH	0.814
AURKA	MYBL2	0.84
AURKA	KIF4A	0.885
AURKA	RRM2	0.892
AURKA	NUF2	0.893
AURKA	MELK	0.913
AURKA	CPEB3	0.913
AURKA	KIF23	0.924
AURKA	BUB1B	0.924
AURKA	BRCA1	0.942
AURKA	FN1	0.945
AURKA	CDCA8	0.952
AURKA	TOP2A	0.963
AURKA	DLGAP5	0.966
AURKA	HMMR	0.97
AURKA	KIF2C	0.975
AURKA	CDC20	0.995
AURKA	MYCN	0.998
BCL2L1	BNIP1	0.787
BCL2L1	USP14	0.743
BCL2L1	CYCS	0.998
BCL2L1	BID	0.999
BCL2L1	PARP1	0.796
BCL2L1	FASLG	0.728
BCL2L1	JUN	0.706
BCL2L1	CTSO	0.902
BID	FASLG	0.867
BID	CTSO	0.901
BID	BCL2L1	0.999
BNIP1	ZW10	0.965
BNIP1	VAMP2	0.773
BNIP1	BCL2L1	0.787
BRCA1	AURKA	0.942
BRCA1	RAD51AP1	0.854
BRCA1	TUBG1	0.928
BRCA1	RPA1	0.96
BRCA1	KIF23	0.713
BRCA1	UBE2S	0.963
BRCA1	MYCN	0.728
BRCA1	OLA1	0.868
BRCA1	BUB1B	0.905
BRCA1	RAD54B	0.882
BRCA1	PARP1	0.974
BRCA1	PCGF6	0.907
BRCA1	JUN	0.794
BRCA1	KIF2C	0.706
BRCA1	CDC20	0.766
BRCA1	RPA2	0.881
BRCA1	HMMR	0.964
BRCA1	MAP3K1	0.77
BRCA1	TOP2A	0.836
BRCA1	UBE2E3	0.775
BRCA1	ANAPC13	0.905
BUB1B	TRIP13	0.928
BUB1B	ZW10	0.928
BUB1B	AURKA	0.924
BUB1B	OIP5	0.837
BUB1B	RAD51AP1	0.747
BUB1B	NCAPH	0.915
BUB1B	DLGAP5	0.981
BUB1B	ESPL1	0.989
