gene	degree	betweenness	closeness	eigenvector	logFC_human	direction	is_hub	is_bottleneck	hub_type
ACAD9	2	0	0.6666666666666666	0	1.2238685724060607	up	FALSE	FALSE	none
ADAMTSL5	2	0	0.19833564493758668	7.706616903369359e-5	-1.087643104648487	down	FALSE	FALSE	none
ADSL	6	0.04030235208629522	0.2251968503937008	0.0015175031813019276	1.2868896224333348	up	FALSE	TRUE	bottleneck
AK2	4	0.044918734094700825	0.27552986512524086	0.03472999518775061	1.4431173656696992	up	FALSE	TRUE	bottleneck
ALDH18A1	4	0.00634892247160869	0.13978494623655913	1.261340163533557e-7	1.1635175799696975	up	FALSE	FALSE	none
ANAPC13	10	4.969247569623141e-5	0.29124236252545826	0.10945349450663598	1.5535196388030317	up	FALSE	FALSE	none
ANLN	42	5.813447171944243e-4	0.32574031890660593	0.7528703899166973	1.3498308522121223	up	TRUE	FALSE	hub
APOA1	2	0	0.24486301369863014	0.0016869846611558875	-1.961528257430305	down	FALSE	FALSE	none
ARHGAP9	2	0	0.6666666666666666	0	-2.1784201672060624	down	FALSE	FALSE	none
ARHGEF12	4	0.006348922471608692	0.18124207858048164	3.300414057886515e-5	-1.0198104231454557	down	FALSE	FALSE	none
ATG4D	2	0	1	0	-2.6525512158303055	down	FALSE	FALSE	none
ATOX1	4	4.4710721631047124e-5	1	0	1.6453529189030311	up	FALSE	FALSE	none
AURKA	58	0.078025255966415	0.3638676844783715	0.8284536642874356	1.0748906973696977	up	TRUE	TRUE	hub_bottleneck
BCL2L1	16	0.0527667044156191	0.30885529157667385	0.006873439095033917	-1.9850417061090937	down	FALSE	TRUE	bottleneck
BID	6	5.250643719748611e-4	0.24783362218370883	5.479050643212732e-4	1.0860399190303038	up	FALSE	FALSE	none
BNIP1	6	0.025818033621172312	0.27032136105860116	0.0069546916735811655	1.3046133550303034	up	FALSE	TRUE	bottleneck
BRCA1	42	0.055229457920709234	0.34963325183374083	0.33451927281615784	1.6578086907060618	up	TRUE	TRUE	hub_bottleneck
BUB1B	76	0.04815684564467669	0.37730870712401055	0.9999999999999999	1.8119030806121224	up	TRUE	TRUE	hub_bottleneck
BYSL	12	9.493576559659007e-4	0.5	0	1.75284733158182	up	FALSE	FALSE	none
CALML6	6	3.1297505141732987e-4	0.625	0	-1.5003966891030327	down	FALSE	FALSE	none
CAMK1	2	0	0.4166666666666667	0	-3.2174531948363674	down	FALSE	FALSE	none
CCL24	6	0	0.20516499282639886	9.246727223239505e-5	-1.7257876199212143	down	FALSE	FALSE	none
CCNB3	2	0	0.26579925650557623	0.04100394031651297	1.1026918017818197	up	FALSE	FALSE	none
CCR1	8	5.410645298829615e-5	0.20664739884393063	1.2451856538589555e-4	2.1401528786181836	up	FALSE	FALSE	none
CCR2	8	5.410645298829615e-5	0.20664739884393063	1.245185653858805e-4	1.1600348294060614	up	FALSE	FALSE	none
CD70	2	0	0.16031390134529147	3.9371774419037566e-7	1.3657371109212122	up	FALSE	FALSE	none
CDC20	76	0.030130304177090388	0.3611111111111111	0.9420042750551789	1.1748772536181809	up	TRUE	TRUE	hub_bottleneck
CDCA8	54	0.0028745516259208273	0.33568075117370894	0.8927563104224231	2.9044892167030327	up	TRUE	FALSE	hub
CENPK	10	1.2049131783017373e-5	0.28316831683168314	0.18735479069257716	2.752321273363638	up	FALSE	FALSE	none
CHAC2	4	0	0.75	0	3.883986526296973	up	FALSE	FALSE	none
CLP1	2	0	0.20588235294117646	0	1.3133543096727287	up	FALSE	FALSE	none
COL4A3	4	0	0.19972067039106145	1.7945413086185066e-4	-2.495258035654549	down	FALSE	FALSE	none
CPEB3	2	0	0.2672897196261682	0.03606126373837175	-2.2538970001030325	down	FALSE	FALSE	none
CTSO	4	0	0.2367549668874172	3.230392483735595e-4	1.106841160539395	up	FALSE	FALSE	none
CXCR4	16	0.03351513085901225	0.25673249551166966	0.0018752603165774573	-1.8050332776242433	down	FALSE	TRUE	bottleneck
CYCS	10	0.013556179864937078	0.294238683127572	0.006442208816421588	1.342263630363637	up	FALSE	FALSE	none
DCTPP1	2	0	0.26238532110091745	0.03466394069996967	1.3262365882606082	up	FALSE	FALSE	none
DDB1	6	0.003898314409354103	0.2581227436823105	0.022135272153313325	3.362672291339396	up	FALSE	FALSE	none
DDX21	4	0	0.3783783783783784	0	1.854199177687881	up	FALSE	FALSE	none
DDX60	8	0.018778503085039793	0.20457796852646637	1.379365026542113e-4	2.335753613896972	up	FALSE	FALSE	none
DEPDC1	44	0.0016845461183194333	0.325	0.7552562240333195	1.445839890687879	up	TRUE	FALSE	hub
DEPDC1B	24	9.238046767693633e-5	0.29243353783231085	0.4154955443418799	2.9618624790424257	up	FALSE	FALSE	none
DGKD	2	0	0.6666666666666666	0	-1.0911800256666686	down	FALSE	FALSE	none
DHCR7	4	4.4710721631047124e-5	1	0	1.0308268480212124	up	FALSE	FALSE	none
DHX15	14	0.0012533905630570212	0.45161290322580644	-0	1.2834013965636366	up	FALSE	FALSE	none
DKK4	2	0	0.6666666666666666	0	-1.1813345897030312	down	FALSE	FALSE	none
DLGAP5	56	0.002173603658980612	0.3404761904761905	0.9262039038778077	2.2966930911515164	up	TRUE	FALSE	hub
DNAJC5	2	0	0.1771995043370508	1.322737747545367e-5	1.023448485715152	up	FALSE	FALSE	none
DOCK4	4	0.001475453813824555	0.4	7.518566282657956e-18	1.9261863585272752	up	FALSE	FALSE	none
DPEP2	2	0	1	-0	-2.229445833436366	down	FALSE	FALSE	none
DPEP3	2	0	1	7.518566282657956e-18	-1.4631368297090928	down	FALSE	FALSE	none
DSN1	10	7.404458021465982e-5	0.28830645161290325	0.16827151628282358	1.612213203703032	up	FALSE	FALSE	none
DTL	30	0.014324475222955664	0.32207207207207206	0.448390324680839	3.2281665285848513	up	FALSE	FALSE	none
DUT	10	3.301010880654795e-5	0.279296875	0.07959869023374774	1.2002936279393952	up	FALSE	FALSE	none
EDEM1	2	0	1	0	-1.1286452355393937	down	FALSE	FALSE	none
EGR1	2	0	0.2595281306715064	0.00275895171205887	-2.804593208012124	down	FALSE	FALSE	none
EMG1	6	0	0.3888888888888889	1.5037132565315913e-17	1.1027511196848483	up	FALSE	FALSE	none
ENO2	10	0.024917175349280563	0.1866840731070496	5.4941950288937155e-6	-2.8503832556909128	down	FALSE	TRUE	bottleneck
EPB41	4	2.6826432978628275e-4	0.625	0	-4.764517701390915	down	FALSE	FALSE	none
EPB41L1	4	1.788428865241885e-4	0.5	-0	-1.255376399012123	down	FALSE	FALSE	none
ERCC6L	18	0	0.29065040650406504	0.3428064858775344	1.7807455785030324	up	FALSE	FALSE	none
ESPL1	34	0.0020632742481311275	0.3170731707317073	0.5714443949579079	1.8776793935181844	up	FALSE	FALSE	none
FASLG	12	0.02856411745384121	0.2985386221294363	0.005390822021654633	1.1057562385818196	up	FALSE	TRUE	bottleneck
FBN1	8	0.012653134221586336	0.2469775474956822	0.0017704801082893246	4.290120238739398	up	FALSE	FALSE	none
FH	6	0.03197870607598196	0.1919463087248322	6.631899347658757e-5	1.6122228752606085	up	FALSE	TRUE	bottleneck
FN1	26	0.09860664708614209	0.3235294117647059	0.038755952488823985	6.18044112214546	up	FALSE	TRUE	bottleneck
FOXO1	8	0.0029477909408224053	0.2837301587301587	0.007843783280154218	-1.5280808997878808	down	FALSE	FALSE	none
FOXP3	6	0.019997850747767207	0.23366013071895425	2.0700969701475003e-4	-1.646661044048486	down	FALSE	FALSE	none
FXYD1	2	0	1	0	-1.3809184761818198	down	FALSE	FALSE	none
FZD6	2	0	0.6666666666666666	0	2.412914110139395	up	FALSE	FALSE	none
GABARAPL1	2	0	1	3.759283141328978e-18	-1.3033991308878805	down	FALSE	FALSE	none
GALNT7	2	0	1	-0	1.0967827272818187	up	FALSE	FALSE	none
GAS2L1	2	0	0.20487106017191978	0.00165117723503386	-1.2210755092303038	down	FALSE	FALSE	none
GCLC	4	0	0.75	0	2.4176949721818217	up	FALSE	FALSE	none
GCNT1	2	0	1	0	-2.120337055145458	down	FALSE	FALSE	none
GEMIN4	2	0	1	0	1.5279961190424252	up	FALSE	FALSE	none
GEMIN5	2	0	1	0	1.4514031032666674	up	FALSE	FALSE	none
GGT1	6	2.2355360815523562e-5	1	-0	-1.262837819969698	down	FALSE	FALSE	none
GGT7	6	2.2355360815523562e-5	1	0	-1.1812064754484868	down	FALSE	FALSE	none
GINS1	10	7.610033182308846e-5	0.2739463601532567	0.09919727768149034	1.8013032872969708	up	FALSE	FALSE	none
GMNN	8	0	0.2723809523809524	0.0699746633334674	1.0024814413696972	up	FALSE	FALSE	none
GNG2	12	0.008239266625028387	0.21666666666666667	7.683818735453587e-4	-2.0172441851030327	down	FALSE	FALSE	none
GNG3	6	6.727084933912845e-4	0.21568627450980393	7.565987174351089e-4	-1.1709795810181831	down	FALSE	FALSE	none
GPI	12	0.01517634914351684	0.17481662591687042	3.1843730384350588e-6	1.183111215460607	up	FALSE	FALSE	none
HERC5	6	0	0.17044100119189512	6.576702133846581e-6	1.4893176215393964	up	FALSE	FALSE	none
HMMR	48	0.0023988266641932396	0.34210526315789475	0.8307952764047459	2.255051519433335	up	TRUE	FALSE	hub
HOMER1	2	0	0.35714285714285715	0	1.3137065994121218	up	FALSE	FALSE	none
HTR7	6	0.011056698198196387	0.2355848434925865	0.014738083098315615	-1.3208915691212135	down	FALSE	FALSE	none
HYOU1	2	0	1	0	1.643460666848486	up	FALSE	FALSE	none
IFIT5	6	0	0.17044100119189512	6.576702133816506e-6	1.77206980747879	up	FALSE	FALSE	none
IMPDH2	2	0	0.18404118404118405	6.605448778093916e-5	2.1105175744242453	up	FALSE	FALSE	none
INPP5A	2	0	0.13978494623655913	1.7257260774495557e-8	-1.2371800208000017	down	FALSE	FALSE	none
ITGA9	12	0.0031521058749888224	0.24869565217391304	0.00206134528954143	-1.0591113732939412	down	FALSE	FALSE	none
ITGB4	12	0.0031521058749888224	0.24869565217391304	0.0020613452895413996	-2.003395533600002	down	FALSE	FALSE	none
ITGB7	10	0	0.2482638888888889	0.0020538597707468634	-1.995970886484852	down	FALSE	FALSE	none
JUN	20	0.06236903240584698	0.34963325183374083	0.06338279412585208	-3.0429208158393983	down	FALSE	TRUE	bottleneck
KAT2A	4	4.4710721631047124e-5	0.21029411764705883	0.002228785205541224	1.8575394138363643	up	FALSE	FALSE	none
KIF14	46	0.0037186118258771303	0.3055555555555556	0.7195254727005659	2.242072329521213	up	TRUE	FALSE	hub
KIF15	50	0.0030282112040192427	0.3325581395348837	0.8230996217989361	3.5656889220969736	up	TRUE	FALSE	hub
KIF20B	20	0.01557653179788334	0.2826086956521739	0.33706046211440666	1.0377102099696969	up	FALSE	FALSE	none
KIF23	60	0.014461249939591863	0.34793187347931875	0.8962434026035285	2.292228425439395	up	TRUE	FALSE	hub
KIF2A	14	4.933071522734118e-5	0.29916317991631797	0.2646151100241705	1.0161843188848492	up	FALSE	FALSE	none
