human_symbol	dog_symbol	orthology_type	human_logFC	human_adj.P	human_is_sig_strict	human_dir_strict	human_is_sig_broad	human_dir_broad	dog_logFC	dog_adj.P	dog_is_sig_strict	dog_dir_strict	dog_is_sig_broad	dog_dir_broad
SEC14L2	SEC14L2	ortholog_one2one	-1.3408218052424257	1.1112015601336072e-45	FALSE	nonsig	TRUE	down	-0.636679173913043	2.5092980021030483e-6	FALSE	nonsig	TRUE	down
CCNB3	CCNB3	ortholog_one2one	1.1026918017818197	6.49870703805366e-38	FALSE	nonsig	TRUE	up	1.6190350217391305	4.885036823607635e-6	TRUE	up	TRUE	up
GGTLC2	GGT1	ortholog_one2many	-1.2411993107878805	3.43140920828945e-39	FALSE	nonsig	TRUE	down	-1.4301137826086954	7.615337893781975e-4	TRUE	down	TRUE	down
KCTD1	KCTD1	ortholog_one2one	-1.589264716833335	1.1808422300030912e-38	TRUE	down	TRUE	down	-0.5369528913043475	5.9621758092157257e-5	FALSE	nonsig	TRUE	down
THAP10	THAP10	ortholog_one2one	1.9823388166000024	5.2751482167747135e-36	TRUE	up	TRUE	up	0.7014772608695659	0.00247310529096814	FALSE	nonsig	TRUE	up
DKK4	DKK4	ortholog_one2one	-1.1813345897030312	2.5352378863898988e-37	FALSE	nonsig	TRUE	down	-0.8322583913043479	2.488159939457222e-4	FALSE	nonsig	TRUE	down
FRMPD1	FRMPD1	ortholog_one2one	-1.5698717753030318	1.1925754512573846e-44	TRUE	down	TRUE	down	-1.6614478260869563	2.4782372783709357e-7	TRUE	down	TRUE	down
PGLYRP1	PGLYRP1	ortholog_one2one	-1.5190915395030316	2.3096748635229293e-46	TRUE	down	TRUE	down	-1.2044940869565222	0.02946058220462692	TRUE	down	TRUE	down
FABP2	FABP2	ortholog_one2one	-2.078234584103032	7.020299411518255e-61	TRUE	down	TRUE	down	-3.999793260869566	3.2199292172144033e-4	TRUE	down	TRUE	down
SLC25A31	SLC25A31	ortholog_one2one	1.064550066587879	1.288466743433238e-51	FALSE	nonsig	TRUE	up	0.8632455652173916	2.1463042205536335e-5	FALSE	nonsig	TRUE	up
MYOM1	MYOM1	ortholog_one2one	-2.498419855654547	8.811519011533542e-40	TRUE	down	TRUE	down	-2.177554869565218	1.4728674874607917e-6	TRUE	down	TRUE	down
HTR7	HTR7	ortholog_one2one	-1.3208915691212135	3.2273437534396143e-47	FALSE	nonsig	TRUE	down	-0.5075272391304348	0.09992464575691087	FALSE	nonsig	TRUE	down
FBN1	FBN1	ortholog_one2one	4.290120238739398	3.913052156076131e-34	TRUE	up	TRUE	up	0.5769096413043483	0.03954187232436966	FALSE	nonsig	TRUE	up
ZNF550	ZNF550	ortholog_one2one	-2.2075373668909113	3.5004843361204066e-37	TRUE	down	TRUE	down	-0.6492998043478257	1.540445283735598e-5	FALSE	nonsig	TRUE	down
FOXP3	FOXP3	ortholog_one2one	-1.646661044048486	1.019947804200309e-38	TRUE	down	TRUE	down	-1.5172837391304348	5.594020801519044e-9	TRUE	down	TRUE	down
RND1	RND1	ortholog_one2one	1.723838463739396	1.4002550488488836e-42	TRUE	up	TRUE	up	1.350518173913044	2.6548901584709397e-5	TRUE	up	TRUE	up
TMEM167A	TMEM167A	ortholog_one2one	2.04344774577273	6.019655079387308e-33	TRUE	up	TRUE	up	0.6576908695652188	9.769921125711357e-8	FALSE	nonsig	TRUE	up
PLEK2	PLEK2	ortholog_one2one	2.0974674476969715	5.3782958007261036e-46	TRUE	up	TRUE	up	1.3698521304347828	7.282764142144518e-4	TRUE	up	TRUE	up
PTMS	PTMS	ortholog_one2one	-3.8791895848060647	1.6911926660972465e-63	TRUE	down	TRUE	down	-0.5625107717391304	0.00121444696933939	FALSE	nonsig	TRUE	down
EPB41L1	EPB41L1	ortholog_one2one	-1.255376399012123	2.898266694120613e-33	FALSE	nonsig	TRUE	down	-0.7755920217391304	4.417871182508309e-7	FALSE	nonsig	TRUE	down
GGT1	GGT1	ortholog_one2many	-1.262837819969698	1.4201428730881057e-37	FALSE	nonsig	TRUE	down	-1.4301137826086954	7.615337893781975e-4	TRUE	down	TRUE	down
TDO2	TDO2	ortholog_one2one	2.1623126795666683	1.7812680144362726e-34	TRUE	up	TRUE	up	1.3026288985507255	3.304857912302824e-4	TRUE	up	TRUE	up
TMEM156	TMEM156	ortholog_one2one	-3.287078049381821	3.850013668529771e-35	TRUE	down	TRUE	down	-0.54181652173913	0.01007730189584461	FALSE	nonsig	TRUE	down
SYCE1	SYCE1	ortholog_one2one	-1.6815596986969716	5.552947619937246e-53	TRUE	down	TRUE	down	-0.9341969420289856	6.07173965107053e-5	FALSE	nonsig	TRUE	down
SASS6	SASS6	ortholog_one2one	2.5508191986909123	1.917601933784817e-40	TRUE	up	TRUE	up	1.0762019130434783	6.994930852104013e-9	TRUE	up	TRUE	up
ZNF483	ZNF483	ortholog_one2one	-2.0815073065818197	3.254379630093181e-60	TRUE	down	TRUE	down	-1.0423346086956518	3.26362605367129e-8	TRUE	down	TRUE	down
DLX5	DLX5	ortholog_one2one	-1.2935350256303046	3.105235577560319e-40	FALSE	nonsig	TRUE	down	-0.5181358260869562	0.00692564472749336	FALSE	nonsig	TRUE	down
ABCA4	ABCA4	ortholog_one2one	-1.0386863704636382	3.289787535399113e-43	FALSE	nonsig	TRUE	down	-1.1120975	3.443215223868011e-5	TRUE	down	TRUE	down
YWHAG	YWHAG	ortholog_one2one	1.680596865575759	6.013922607193475e-33	TRUE	up	TRUE	up	0.5906300217391308	1.914172019700396e-4	FALSE	nonsig	TRUE	up
TEKT3	TEKT3	ortholog_one2one	-1.614962727660608	6.6171783920815876e-46	TRUE	down	TRUE	down	-0.8465302608695648	0.00372896051030945	FALSE	nonsig	TRUE	down
APOA1	APOA1	ortholog_one2one	-1.961528257430305	2.9076772877756415e-58	TRUE	down	TRUE	down	-0.6264641739130428	0.0010838438123141	FALSE	nonsig	TRUE	down
ARL3	ARL3	ortholog_one2one	-1.401227889539395	9.213062220677717e-48	FALSE	nonsig	TRUE	down	-0.5547041086956518	1.1220800736705256e-4	FALSE	nonsig	TRUE	down
MTHFD1	MTHFD1	ortholog_one2many	3.315738315993943	4.381849511201826e-41	TRUE	up	TRUE	up	0.9655695000000002	4.2630227170137706e-8	FALSE	nonsig	TRUE	up
