human_symbol	dog_symbol	orthology_type	human_logFC	human_adj.P	human_is_sig_strict	human_dir_strict	human_is_sig_broad	human_dir_broad	dog_logFC	dog_adj.P	dog_is_sig_strict	dog_dir_strict	dog_is_sig_broad	dog_dir_broad
FRMPD1	FRMPD1	ortholog_one2one	-1.5698717753030318	1.1925754512573846e-44	TRUE	down	TRUE	down	-1.6614478260869563	2.4782372783709357e-7	TRUE	down	TRUE	down
PGLYRP1	PGLYRP1	ortholog_one2one	-1.5190915395030316	2.3096748635229293e-46	TRUE	down	TRUE	down	-1.2044940869565222	0.02946058220462692	TRUE	down	TRUE	down
FABP2	FABP2	ortholog_one2one	-2.078234584103032	7.020299411518255e-61	TRUE	down	TRUE	down	-3.999793260869566	3.2199292172144033e-4	TRUE	down	TRUE	down
MYOM1	MYOM1	ortholog_one2one	-2.498419855654547	8.811519011533542e-40	TRUE	down	TRUE	down	-2.177554869565218	1.4728674874607917e-6	TRUE	down	TRUE	down
FOXP3	FOXP3	ortholog_one2one	-1.646661044048486	1.019947804200309e-38	TRUE	down	TRUE	down	-1.5172837391304348	5.594020801519044e-9	TRUE	down	TRUE	down
RND1	RND1	ortholog_one2one	1.723838463739396	1.4002550488488836e-42	TRUE	up	TRUE	up	1.350518173913044	2.6548901584709397e-5	TRUE	up	TRUE	up
PLEK2	PLEK2	ortholog_one2one	2.0974674476969715	5.3782958007261036e-46	TRUE	up	TRUE	up	1.3698521304347828	7.282764142144518e-4	TRUE	up	TRUE	up
TDO2	TDO2	ortholog_one2one	2.1623126795666683	1.7812680144362726e-34	TRUE	up	TRUE	up	1.3026288985507255	3.304857912302824e-4	TRUE	up	TRUE	up
SASS6	SASS6	ortholog_one2one	2.5508191986909123	1.917601933784817e-40	TRUE	up	TRUE	up	1.0762019130434783	6.994930852104013e-9	TRUE	up	TRUE	up
ZNF483	ZNF483	ortholog_one2one	-2.0815073065818197	3.254379630093181e-60	TRUE	down	TRUE	down	-1.0423346086956518	3.26362605367129e-8	TRUE	down	TRUE	down
TNFRSF4	TNFRSF4	ortholog_one2one	-1.9802824294727297	9.80698103198263e-37	TRUE	down	TRUE	down	-1.9588045217391308	1.130820111821847e-9	TRUE	down	TRUE	down
